object_class,tiering_strategy,retention_strategy,compression_strategy,recompute_strategy,provenance_strategy,eviction_failure_mode,evidence_label
weights,HBM/GPU memory; CPU DRAM; pooled memory; NVMe cold tier,baseline hot residency while active; optional prefix reuse cache,quantization; sparsity; adapter separation,reload or recompute prefill,model/version or prefix hash,"cold-start latency, capacity loss, or forced rerouting",derived
KV cache,HBM/GPU memory; CPU DRAM offload; pooled memory,baseline hot residency while active; optional prefix reuse cache,lower precision; paging; summarization boundary; eviction by segment,reload or recompute prefill,model/version or prefix hash,"recompute prefill, lose latency target, or truncate context",derived
prefix cache,HBM/GPU memory; CPU DRAM; shared cache service,baseline hot residency while active; optional prefix reuse cache,deduplication; hash indexing; lower precision KV,reload or recompute prefill,model/version or prefix hash,lost cache hit and repeated prefill,derived
retrieved context,CPU DRAM; NVMe; remote object store; HBM when inserted into prompt,reuse-aware object retention with source invalidation,chunk deduplication; embeddings; summaries,repeat retrieval/embedding or materialize cached semantic result,"corpus version, source pointer, confidence, invalidation signal","stale evidence, repeated retrieval, or lost citation provenance",derived
tool output,CPU DRAM; NVMe; durable workspace; remote store; semantic cache,correctness-sensitive durable retention with hot index,structured extraction; truncation with pointer; compression,rerun tool/test or replay trajectory when safe,artifact dependency graph and raw-output pointer,"lost reproducibility, expensive rerun, or missing evidence",derived
intermediate scratch,HBM/GPU memory; CPU DRAM; local disk temp,short-lived scratch retention until substep completes,streaming; chunking; early discard,rerun local substep,substep id,"memory spike, failed tool step, or rerun",derived
branch state,HBM/GPU memory for hot KV; CPU DRAM; NVMe checkpoint; durable workspace,branch-survival-weighted checkpoint retention,checkpoint diffing; summaries; delta encoding,refork branch or regenerate candidate when acceptable,trajectory branch edge and merge/discard marker,"lost alternative, duplicate exploration, or biased merge",derived
verifier state,CPU DRAM; NVMe; durable workspace; HBM when verifier prompt uses it,correctness-sensitive durable retention with hot index,structured verdicts; trace summarization; deduplication,rerun tool/test or replay trajectory when safe,artifact dependency graph and raw-output pointer,"false confidence, missed counterexample, or repeated validation",derived
trajectory log,CPU DRAM hot index; NVMe; durable workspace; remote log store,correctness-sensitive durable retention with hot index,summaries with raw pointers; event compaction; indexing,rerun tool/test or replay trajectory when safe,artifact dependency graph and raw-output pointer,"lost auditability, broken resume, or unreproducible result",derived
durable workspace,NVMe; remote object store; versioned filesystem; CPU cache for hot files,correctness-sensitive durable retention with hot index,content-addressing; delta compression; archive tiers,rerun tool/test or replay trajectory when safe,artifact dependency graph and raw-output pointer,"correctness loss, broken dependency, or missing deliverable",derived
semantic cache entry,CPU DRAM index; NVMe; remote vector store; HBM only for active prompt materialization,reuse-aware object retention with source invalidation,embedding compression; payload summary; pointer storage,repeat retrieval/embedding or materialize cached semantic result,"corpus version, source pointer, confidence, invalidation signal",stale or semantically wrong reuse,derived
