gate_order,gate_name,collection_source_class,required_input_or_observation,can_collector_generate_directly,requires_operator_or_external_material,self_attestation_risk,collection_boundary
1,root_enrollment,operator_supplied,deployment_root_identity_file,false,true,true,deployment root identity must come from operator enrollment material
2,attestation_envelope,external_attestation,external_attestation_file,false,true,true,"attestation must be supplied by hardware/KMS/HSM or external attester, not generated by this collector"
3,trust_policy,operator_supplied,operator_trust_policy_file,false,true,true,operator trust policy must be supplied and signed outside the collector
4,intake_custody,collector_observed,bundle_manifest_file,true,false,false,collector can observe local manifest and output custody path
5,adapter_conformance,collector_observed,adapter_conformance_file,true,false,false,collector can bind an adapter conformance report produced by the adapter/conformance kit
6,timebase_integrity,collector_observed,time_source_file,true,false,false,collector can observe time source freshness and measurement window
7,redaction_integrity,collector_observed,redaction_report_file,true,false,false,collector can bind redaction evaluator output
8,evidence_gatechain,derived_from_prior_gate,gatechain_report_file,false,false,false,derived replay consumes prior gate outputs
9,uncertainty_qualification,collector_observed,uncertainty_report_file,true,false,false,collector can bind confidence report produced from captured telemetry
10,causal_attribution,operator_supplied,causal_control_report_file,false,true,false,control-arm/covariate material must be supplied by experiment owner
11,dc001_dc002_threshold_replay,collector_observed,threshold_replay_file,true,false,false,collector can bind threshold replay output from telemetry counters
12,planner_readiness_boundary,derived_from_prior_gate,planner_boundary_file,false,false,false,"derived boundary consumes threshold, security, and planner outputs"
13,final_handoff_traceability,operator_supplied,handoff_traceability_file,false,true,false,operator must supply final claim-to-evidence traceability material
