failure_case,workload_class,object_class,object_id,requested_strategy,runtime_response,reason,evidence_label
unsafe_lossy_compression_request,RAG,KV cache,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,RAG,retrieved context,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,RAG,semantic cache entry,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,RAG,tool output,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,RAG,weights,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,batch summarization/offline inference control,KV cache,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,batch summarization/offline inference control,weights,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,code-agent loop,KV cache,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,code-agent loop,branch state,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,code-agent loop,durable workspace,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,code-agent loop,tool output,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,code-agent loop,trajectory log,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,code-agent loop,verifier state,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,code-agent loop,weights,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,multi-agent branch/merge,KV cache,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,multi-agent branch/merge,branch state,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,multi-agent branch/merge,durable workspace,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,multi-agent branch/merge,tool output,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,multi-agent branch/merge,trajectory log,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,multi-agent branch/merge,verifier state,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,multi-agent branch/merge,weights,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,single-turn chat control,KV cache,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,single-turn chat control,weights,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,verification-heavy,KV cache,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
unsafe_lossy_compression_request,verification-heavy,branch state,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,verification-heavy,tool output,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,verification-heavy,trajectory log,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,verification-heavy,verifier state,,lossy_summarize,blocked,lossy_without_replay_safe_pointer,synthetic
unsafe_lossy_compression_request,verification-heavy,weights,,lossy_summarize,blocked,lossy_changes_exact_model_or_continuation_state,synthetic
missing_provenance_pointer,RAG,retrieved context,fixture:retrieved_context_without_provenance,summary_plus_pointer,blocked_or_retain_exact_state,fixture removes provenance_id needed for replay-safe pointer strategy,synthetic_fixture
invalidation_or_source_version_mismatch,RAG,semantic cache entry,fixture:semantic_cache_stale_source,summary_plus_pointer,force_revalidate_or_recompute,fixture changes source_version or invalidation_signal before reuse,synthetic_fixture
missing_trajectory_or_dag_fields,code-agent loop,branch state,fixture:branch_state_without_trajectory_node,summary_plus_pointer,downgrade_to_object_runtime_or_pin,fixture removes trajectory_node_id and branch_id from dependency-sensitive state,synthetic_fixture
