trigger_id,trigger_type,required_artifact,minimum_evidence_class,current_status,action_if_observed,insufficient_substitutes,owning_prior_milestone
measured_shadow_or_canary_package,measured_package,Replayable shadow/canary evidence package with raw admissible trace artifacts and attestations.,"valid package with hash match, schema compatibility, valid trace, admissible ingestion path, measured terms, production/shadow/canary source, provenance/privacy attestations, nonzero request and accepted fast-path volume, measured best programmable baseline, threshold crossing, UCB_alpha(H-B)<0, and lifecycle_terminal_state=actual_reopen_candidate",inactive_pending_artifact,Activate existing Phase 4 performance/economic reopen evaluation only after lifecycle and uncertainty conditions pass.,synthetic traces; local proxy timing; template packages; summaries without raw package artifacts,M-PHASE4-SYNTH-1
measured_production_package,measured_package,Replayable production evidence package with raw admissible trace artifacts and attestations.,"valid package with hash match, schema compatibility, valid trace, admissible ingestion path, measured terms, production/shadow/canary source, provenance/privacy attestations, nonzero request and accepted fast-path volume, measured best programmable baseline, threshold crossing, UCB_alpha(H-B)<0, and lifecycle_terminal_state=actual_reopen_candidate",inactive_pending_artifact,Activate existing Phase 4 performance/economic reopen evaluation only after lifecycle and uncertainty conditions pass.,vendor-only numbers; local proxy timing; unverifiable production summaries; point crossings without uncertainty durability,M-PHASE4-SYNTH-1
programmable_baseline_public_update,baseline_update,Public source or reproducible benchmark materially changing optimized software or programmable accelerator assumptions.,"independent public baseline evidence with comparable workload, units, and feature/audit/fallback accounting",watch_only,Refresh baseline assumptions and rerun existing calibrated models; do not infer a physicalized win.,vendor-only marketing claims; incomparable peak TOPS; missing workload/accounting terms,M-SWBASE-2
compiled_verilator_available,prototype_toolchain,Local compiled Verilator simulation becomes runnable for the existing HDL testbench.,toolchain availability plus compiled simulation log matching Python/Yosys vectors,watch_only,Reopen prototype verification closure only; do not reopen performance/economic superiority.,lint-only success; Yosys-only structural checks; unrelated compiler availability,M-PROTO-1
hdl_design_scope_change,prototype_design_change,"HDL changes add sequential state, memories, mutable policy logic, handshake timing, or altered constants.","source diff plus regenerated lint, simulation, synthesis, and vector-equivalence evidence",watch_only,Reopen prototype verification closure only; do not reopen performance/economic superiority.,documentation-only changes; regenerated diagram without source/equivalence checks,M-PROTO-1
new_stable_high-volume_target_evidence,target_evidence,Measured package for a stable high-volume target class outside the current safety/filter path.,"valid package with hash match, schema compatibility, valid trace, admissible ingestion path, measured terms, production/shadow/canary source, provenance/privacy attestations, nonzero request and accepted fast-path volume, measured best programmable baseline, threshold crossing, UCB_alpha(H-B)<0, and lifecycle_terminal_state=actual_reopen_candidate",inactive_pending_artifact,Map target evidence into existing Phase 4 lifecycle and uncertainty pathway before any superiority evaluation.,M-ROBUST-1 favorable-plausible rows; extreme counterfactuals; target-score intuition alone,M-ROBUST-1
vendor_benchmark_only,insufficient_substitute,Vendor benchmark or accelerator claim without raw admissible package artifacts.,insufficient,insufficient,Record as context only; do not reopen evaluation.,claimed energy savings; peak throughput; private customer summary,M-INGEST-1
synthetic_counterfactual_only,insufficient_substitute,Synthetic or counterfactual trace crossing thresholds without actual measured source.,insufficient,insufficient,Use only as a control exercising logic; do not reopen evaluation.,privacy-safe synthetic trace; hypothetical actual-candidate control,M-PIPELINE-1
local_proxy_only,insufficient_substitute,Local timing or proxy measurement without measured production/shadow/canary package.,insufficient,insufficient,Use only for local overhead or sanity context; do not reopen evaluation.,Python microbenchmarks; proxy energy estimates; single-path local traces,M-MEASURE-1
template_or_dryrun_only,insufficient_substitute,"Operator template, dry-run, intake rehearsal, or lifecycle placeholder without measured evidence.",insufficient,insufficient,Keep as readiness evidence only; do not reopen evaluation.,filled template; dry-run manifest; intake rehearsal; lifecycle-ready nonactual package,M-DRYRUN-1
