case_id,artifact_class,source_actuality,terminal_state,expected_terminal_state,status_matches_expected,owning_gate,reopen_allowed,actual_reopen_candidate,hypothetical_actual_candidate_control,current_artifact,threshold_evaluated,uncertainty_evaluated,rationale
acquisition_shadow_ready_design,acquisition_design,readiness_plan,collection_ready_not_evidence,collection_ready_not_evidence,True,M-ACQUIRE-1,False,False,False,True,False,False,M-ACQUIRE-1 screens a future collection design; readiness is not measured evidence.
dryrun_complete_template_only,dryrun_template,template_dryrun,dryrun_ready_not_evidence,dryrun_ready_not_evidence,True,M-DRYRUN-1,False,False,False,True,False,False,M-DRYRUN-1 templates are placeholder-safe and contain no measured trace rows.
intake_shadow_synthetic_non_crossing,intake_rehearsal,synthetic_safe_rehearsal,intake_rehearsed_not_evidence,intake_rehearsed_not_evidence,True,M-INTAKE-1,False,False,False,True,False,False,M-INTAKE-1 rehearses handoff mechanics with synthetic-safe rows; rehearsal is not current evidence.
intake_canary_synthetic_non_crossing,intake_rehearsal,synthetic_safe_rehearsal,intake_rehearsed_not_evidence,intake_rehearsed_not_evidence,True,M-INTAKE-1,False,False,False,True,False,False,M-INTAKE-1 rehearses handoff mechanics with synthetic-safe rows; rehearsal is not current evidence.
synthetic_counterfactual_threshold_crossing,evidence_pack_replay,synthetic_control,threshold_crossed_nonactual,threshold_crossed_nonactual,True,M-REOPEN-1,False,False,False,True,True,False,"M-REOPEN-1 point threshold crossed, but M-PIPELINE-1/M-EVIDENCEPACK-1 source gates are nonactual."
uncertainty_durable_synthetic_control,uncertainty_control,synthetic_control,statistically_durable_nonactual,statistically_durable_nonactual,True,M-UNCERTAINTY-1,False,False,False,True,True,True,M-UNCERTAINTY-1 durable interval is nonactual because source or measured-term gates fail.
noisy_point_crossing_actual_like_blocked_by_uncertainty,future_measured_candidate_control,actual_measured_shadow,uncertainty_inconclusive,uncertainty_inconclusive,True,M-UNCERTAINTY-1,False,False,False,False,True,True,M-UNCERTAINTY-1 blocks the point crossing because UCB_alpha is not below zero.
missing_privacy_attestation,evidence_pack_replay,actual_measured_shadow,blocked_invalid_or_unsafe,blocked_invalid_or_unsafe,True,M-EVIDENCEPACK-1/M-REOPEN-1,False,False,False,True,False,False,M-EVIDENCEPACK-1 blocks missing attestations: privacy_attestation
stale_trace_hash,evidence_pack_replay,actual_measured_shadow,replay_blocked,replay_blocked,True,M-EVIDENCEPACK-1,False,False,False,True,False,False,M-EVIDENCEPACK-1/M-INTAKE-1 hash preservation failed before threshold evaluation.
unknown_threshold_mapping,evidence_pack_replay,actual_measured_shadow,replay_blocked,replay_blocked,True,M-EVIDENCEPACK-1,False,False,False,True,False,False,M-EVIDENCEPACK-1 requires a known M-REOPEN-1 threshold scenario before threshold evaluation.
zero_volume_measured_like,future_measured_candidate_control,actual_measured_shadow,blocked_invalid_or_unsafe,blocked_invalid_or_unsafe,True,M-EVIDENCEPACK-1/M-REOPEN-1,False,False,False,False,False,False,M-REOPEN-1 zero-volume special case blocks margin credit before uncertainty evaluation.
all_fallback_measured_like,future_measured_candidate_control,actual_measured_canary,blocked_invalid_or_unsafe,blocked_invalid_or_unsafe,True,M-EVIDENCEPACK-1/M-REOPEN-1,False,False,False,False,False,False,M-REOPEN-1 all-fallback special case has no accepted physicalized fast-path credit.
proxy_replay_valid_nonactual,evidence_pack_replay,local_proxy,replay_valid_nonactual,replay_valid_nonactual,True,M-EVIDENCEPACK-1,False,False,False,True,False,False,M-EVIDENCEPACK-1 package is diagnostically valid but lacks actual measured admissible source terms.
actual_measured_threshold_not_crossed_control,future_measured_candidate_control,actual_measured_shadow,threshold_evaluable_not_crossed,threshold_evaluable_not_crossed,True,M-REOPEN-1,False,False,False,False,True,False,M-REOPEN-1 evaluated the measured package and the point threshold was not crossed.
hypothetical_actual_measured_durable_candidate_control,future_measured_candidate_control,actual_measured_canary,actual_reopen_candidate,actual_reopen_candidate,True,M-UNCERTAINTY-1,True,False,True,False,True,True,"All lifecycle gates pass: actual measured source, measured terms, threshold crossing, and durable uncertainty margin."
